Date,Open,High_ETH_EUR,Low_ETH_EUR,Volume,Index Value,High_OMX,Low_OMX,Total Market Value,Dividend Market Value
2018-01-18,834.79,939.99,787.28,48938.94170387,1619.6,1627.54,1616.75,608681462336.0,0.0
2018-01-19,864.99,913.97,841.0,19090.70562955,1630.63,1632.56,1618.43,612824793827.0,0.0
2018-01-22,845.65,900.08,751.93,31758.48594587,1633.68,1636.28,1627.62,613972646520.0,0.0
2018-01-23,816.0,839.95,752.0,23148.88403349,1636.6,1643.71,1634.01,615070068939.0,0.0
2018-01-24,820.85,859.5,785.89,13457.58140732,1625.99,1639.52,1625.16,611081187272.0,0.0
2018-01-25,838.97,879.8,827.27,15152.94500727,1601.01,1624.96,1598.91,601695215976.0,0.0
2018-01-26,854.76,863.52,803.28,17396.48937379,1613.31,1614.88,1603.06,606317554830.0,0.0
2018-01-27,838.01,895.5,838.0,11774.75743162,,,,,
2018-01-29,985.02,988.0,930.5,14672.01015413,1616.24,1621.26,1612.08,607418217178.0,0.0
2018-01-30,931.99,948.87,824.0,32242.89560123,1605.37,1619.21,1603.28,603330925737.0,0.0
2018-01-31,869.99,899.0,826.37,15239.14877097,1594.35,1611.95,1593.38,599190016420.0,0.0
2018-02-01,882.86,915.0,736.0,49042.77015786,1589.85,1605.66,1588.08,597498124341.0,0.0
2018-02-02,795.99,819.0,560.27,94473.34412643,1570.29,1593.9,1570.22,590149452401.0,0.0
2018-02-04,774.99,784.0,629.14,31630.81812176,,,,,
2018-02-05,678.9,683.85,485.0,85022.52206695,1549.43,1568.26,1547.61,582307237893.0,0.0
2018-02-06,545.0,657.17,450.09,116327.80302675,1517.1,1539.41,1488.96,570158398273.0,0.0
2018-02-07,627.69,713.99,586.0,54816.49875614,1553.61,1556.89,1521.26,583878854999.0,0.0
2018-02-08,647.85,695.14,612.5,32981.08659992,1519.17,1551.56,1519.17,570938390668.0,0.0
2018-02-09,663.0,725.0,640.0,23925.61979367,1508.31,1524.73,1500.84,566854971686.0,0.0
2018-02-11,697.49,708.5,635.66,17338.12799089,,,,,
2018-02-12,682.02,709.0,660.0,11801.94740076,1530.31,1539.94,1512.58,575123505311.0,0.0
2018-02-13,704.11,707.79,675.9,8755.25631412,1520.31,1535.78,1519.62,571363694876.0,0.0
2018-02-14,681.92,743.76,680.65,20888.1107589,1539.85,1541.25,1511.46,578710131377.0,0.0
2018-02-15,743.63,769.71,721.47,18999.05657157,1548.42,1558.07,1543.58,581930599590.0,182728871.0
2018-02-16,749.53,759.44,732.96,6812.12809153,1574.86,1575.11,1556.11,591867282320.0,0.0
2018-02-18,788.9,795.0,733.29,10971.32293457,,,,,
2018-02-19,743.1,769.98,740.2,5008.5846877,1562.62,1578.97,1561.06,587267073747.0,0.0
2018-02-20,758.47,775.55,721.0,10719.71958955,1568.92,1569.19,1555.8,589634270256.0,0.0
2018-02-21,728.5,738.5,663.0,16094.11672188,1575.68,1577.05,1560.22,592172871825.0,30714024.0
2018-02-22,685.0,710.05,641.0,12357.94248522,1577.13,1577.93,1560.1,592719871993.0,0.0
2018-02-23,656.51,719.98,641.28,11270.26526915,1581.13,1583.23,1570.56,594223241964.0,0.0
2018-02-24,694.5,711.12,661.0,5554.88603838,,,,,
2018-02-26,689.44,714.54,680.0,7176.48793332,1595.12,1598.52,1584.18,599481410286.0,0.0
2018-02-27,707.64,727.52,702.0,5288.69161256,1584.89,1595.27,1579.39,595634578326.0,625033553.0
2018-02-28,719.23,725.0,702.27,4500.28787117,1574.75,1582.87,1573.01,591823103090.0,0.0
2018-03-01,707.01,716.6,696.56,3617.14539679,1551.71,1574.14,1550.25,583167536865.0,0.0
2018-03-02,708.36,719.57,688.05,4228.9739991,1511.74,1546.99,1510.34,568143207201.0,0.0
2018-03-03,697.41,704.35,686.11,2961.37559231,,,,,
2018-03-04,691.08,699.0,681.39,2068.36929531,,,,,
2018-03-05,696.74,700.0,691.39,3127.6758082,1528.47,1529.17,1511.59,574429883093.0,0.0
2018-03-06,693.12,693.32,651.5,6176.61909612,1533.81,1546.31,1530.44,576439361955.0,0.0
2018-03-07,661.99,664.34,585.2,12760.72157515,1535.82,1536.21,1522.61,577194739109.0,0.0
2018-03-08,611.18,632.78,561.0,9146.25716366,1557.25,1558.05,1535.65,585248358884.0,0.0
2018-03-09,562.5,579.28,520.0,14204.79917118,1562.05,1564.93,1553.98,587053057684.0,325404722.0
2018-03-12,587.62,603.09,551.71,6245.86019705,1564.16,1572.15,1560.83,587845939531.0,0.0
2018-03-13,562.0,578.0,551.3,4342.49120339,1547.44,1572.02,1545.37,581560075141.0,0.0
2018-03-14,557.37,565.18,475.0,16330.73456557,1552.04,1564.32,1548.32,583291683824.0,0.0
2018-03-15,486.6,505.66,463.57,10140.02686317,1564.72,1565.02,1551.3,588055866366.0,347791543.0
2018-03-16,497.0,510.0,475.83,6143.82164525,1552.76,1562.93,1550.34,583559052366.0,3118939325.0
2018-03-17,497.69,497.69,438.77,9522.21686218,,,,,
2018-03-18,456.95,459.39,369.8,41744.79160764,,,,,
2018-03-19,433.1,459.0,421.02,16451.34232587,1535.9,1551.26,1534.45,577224253072.0,0.0
2018-03-20,438.71,464.87,419.0,12121.7089982,1541.04,1544.23,1529.26,579156756533.0,0.0
2018-03-21,459.9,486.0,445.01,11009.04306469,1540.12,1543.19,1535.09,578809123580.0,0.0
2018-03-22,450.0,466.47,422.12,7437.35198336,1506.69,1535.21,1501.98,565970548749.0,780047240.0
2018-03-23,436.0,440.78,412.42,7187.66154192,1499.23,1504.97,1479.77,563166666511.0,2393334996.0
2018-03-24,429.01,440.37,426.38,3410.53877214,,,,,
2018-03-26,426.8,427.01,376.6,14922.90429133,1485.0,1507.97,1482.96,557820668491.0,0.0
2018-03-27,396.0,398.68,363.0,10528.0499745,1496.62,1507.22,1490.46,562186282370.0,820029834.0
2018-03-28,371.32,375.2,356.71,7392.00033221,1496.68,1496.74,1470.98,562206943496.0,190124063.0
2018-03-29,363.2,364.0,308.77,25023.49284859,1505.9,1507.82,1493.05,565671889349.0,1014389053.0
2018-03-30,316.61,334.36,296.04,17990.39525654,1505.9,1508.23,1505.9,565671889349.0,0.0
2018-03-31,314.28,354.0,313.69,10088.46435281,,,,,
2018-04-01,321.38,323.61,291.06,13349.66119481,,,,,
2018-04-02,305.74,319.97,304.32,5661.29914462,1505.28,1508.18,1504.99,565439135656.0,0.0
2018-04-03,311.0,344.38,309.02,11906.34482169,1490.09,1502.05,1481.07,559731769450.0,0.0
2018-04-04,337.69,340.0,302.23,12347.30926226,1466.93,1490.84,1460.91,551033604352.0,574703098.0
2018-04-05,307.05,317.31,300.2,6292.80297718,1498.0,1498.59,1478.4,562704362457.0,0.0
2018-04-06,311.9,314.0,297.15,7874.3692654,1487.95,1498.25,1484.19,558931120771.0,1475214651.0
2018-04-07,300.0,320.0,299.33,3596.51143672,,,,,
2018-04-08,314.02,328.99,311.84,3954.56273683,,,,,
2018-04-09,326.89,352.61,315.0,15266.63120378,1490.56,1503.14,1484.55,559910116610.0,0.0
2018-04-10,319.24,338.6,319.0,5890.14552384,1507.63,1507.76,1493.28,566320476061.0,0.0
2018-04-11,332.51,343.84,331.41,6294.15062284,1483.73,1506.05,1481.5,557345377080.0,445728249.0
2018-04-12,343.13,398.72,335.0,27735.46275228,1488.86,1492.6,1480.03,559271947122.0,0.0
2018-04-13,398.7,429.69,391.82,24597.16053204,1489.83,1499.78,1486.53,559634637944.0,352958127.0
2018-04-14,401.58,417.8,395.0,7557.26480141,,,,,
2018-04-15,412.8,429.98,406.33,7486.45550165,,,,,
2018-04-16,428.9,436.97,403.0,9959.40492115,1486.16,1498.72,1484.75,558255203932.0,272564917.0
2018-04-17,409.55,420.99,406.0,5554.83703973,1507.79,1510.47,1488.53,566383567807.0,0.0
2018-04-18,407.71,424.87,405.0,5692.85299053,1511.97,1512.76,1504.98,567950727093.0,0.0
2018-04-19,422.25,458.0,419.06,10373.67380261,1515.25,1518.47,1510.67,569183082887.0,0.0
2018-04-20,456.2,506.88,451.8,12181.68277815,1519.75,1525.28,1513.8,570875068237.0,1046073600.0
2018-04-21,501.31,510.0,466.0,12699.96507799,,,,,
2018-04-22,490.03,523.45,483.0,8828.99537334,,,,,
2018-04-23,508.36,529.59,501.79,10013.0677587,1527.04,1527.04,1518.34,573612390124.0,0.0
2018-04-24,524.91,584.0,523.86,18561.39934393,1520.14,1531.66,1515.95,571020767432.0,0.0
2018-04-25,577.39,579.15,489.12,37452.39908238,1503.37,1517.53,1491.61,564720732614.0,664078150.0
