Date,Open,High,Low,Volume
30/01/2019,91.49,95.8,90.55,17988.65329
01/02/2019,92.85,93.48,90.27,10272.42898
02/02/2019,92.95,93.7,92,5527.015523
04/02/2019,92.72,94.32,92.21,8302.2817
05/02/2019,92.98,93.49,92.01,7968.055234
08/02/2019,91.15,108,90.6,32340.65415
13/02/2019,106.43,110.3,106.35,11329.10282
14/02/2019,107.1,109.25,105.73,9849.63301
15/02/2019,106.53,109.57,105.83,8679.934397
18/02/2019,117.36,130.8,116.28,50922.68158
19/02/2019,125.99,131.78,125.61,23224.89465
21/02/2019,128.52,130.64,125,16173.38746
25/02/2019,121.82,124.18,116,24745.71814
26/02/2019,121.91,122.05,117.51,13386.03857
28/02/2019,115.5,122.46,115.5,22782.47728
01/03/2019,118.49,121,117.98,11220.31016
03/03/2019,116.15,117.97,115.21,5543.616806
04/03/2019,115.21,115.22,108.57,20193.4142
08/03/2019,122.5,123.07,115.55,14965.99777
10/03/2019,121.21,121.5,118.58,6129.223423
14/03/2019,115.87,119.58,114.14,10242.13756
15/03/2019,116.22,120.83,116.04,10843.43187
16/03/2019,119.6,126.05,119.6,16533.80395
29/03/2019,122.4,126.41,122,16090.78204
01/04/2019,125.93,127.5,123.93,12279.82347
02/04/2019,126.6,145.13,125.85,52578.84052
05/04/2019,140.21,150.13,139.52,19418.04787
11/04/2019,156.85,157.96,140.65,24983.41577
12/04/2019,147.01,148.29,141.67,11391.99563
13/04/2019,146.18,147.21,144.07,4810.125747
14/04/2019,145.01,149.83,143.73,5947.700873
15/04/2019,149.26,150.02,138.4,19687.97877
16/04/2019,142.38,148.49,141.4,10775.6515
17/04/2019,146.95,149.04,145.95,7654.534214
18/04/2019,147,157.01,146.81,13437.14176
19/04/2019,154.5,155.19,151.07,9334.248457
20/04/2019,153.86,158.04,152.2,7204.795498
21/04/2019,153.88,156.01,148.8,8368.426006
22/04/2019,151.55,154.23,150.1,6129.154042
23/04/2019,153.37,157.25,150.19,15088.74292
24/04/2019,152.96,153,143.94,18074.67525
25/04/2019,148.37,149.23,133,20560.91277
26/04/2019,137.7,140.15,133.72,18971.27336
27/04/2019,137.3,142.45,136.81,7391.206661
28/04/2019,140.63,140.88,136.98,7483.543782
29/04/2019,137.84,138.7,133.61,11308.93411
30/04/2019,135.95,143.88,135.86,10462.50536
01/05/2019,143.24,145.21,140.06,6377.174822
02/05/2019,140.44,143.79,139.54,7364.194922
03/05/2019,142.97,151.63,141.5,14632.13607
04/05/2019,147.41,149.86,141.23,12143.48641
05/05/2019,145.46,146.32,140.62,7611.934871
06/05/2019,144.13,157,141.18,24799.24418
07/05/2019,154.8,161.37,150.46,25725.19207
08/05/2019,154.3,155,145.55,15690.92381
09/05/2019,152.44,154.5,147.15,17813.67965
10/05/2019,151.51,157.2,149.41,21282.79581
11/05/2019,154.37,177.74,152.94,56199.53643
12/05/2019,176.96,181,160.24,58904.96542
13/05/2019,166.51,186.13,164.87,44808.46258
14/05/2019,175.12,193,170.51,57834.96626
15/05/2019,193,220.54,192.03,76220.80246
16/05/2019,220.03,249.8,216.01,112378.7076
17/05/2019,232.83,240.9,199,79232.44255
18/05/2019,213.01,223,208.31,22318.62652
19/05/2019,213,235.94,209.08,33989.85523
20/05/2019,235.1,237,213.55,37354.18067
21/05/2019,224.02,237,222.1,23740.25536
22/05/2019,230.1,234.79,215.92,26786.01024
23/05/2019,221.25,222.65,208,27677.13787
24/05/2019,220.41,228,217.01,18823.90256
25/05/2019,223.43,230,220.21,9849.30897
26/05/2019,225.51,241.4,220.2,24339.76032
27/05/2019,236.43,249.37,236.05,34617.22766
28/05/2019,240.41,247.92,237,21699.53563
29/05/2019,244.03,246.58,233.01,22340.55022
30/05/2019,243.34,260.02,214.02,53468.84735
31/05/2019,227.6,237,221,24110.34088
01/06/2019,236.16,246,234.08,10471.25527
02/06/2019,244.05,244.05,238.75,1099.497302
03/06/2019,241.55,242.63,228.5,14233.7072
04/06/2019,230.35,230.35,207.03,39500.69194
05/06/2019,212.5,221.98,211.36,15000.10359
06/06/2019,219.75,220.67,209,10552.40822
07/06/2019,216.09,225.18,216,15672.82619
08/06/2019,221.8,222.64,214,5321.451516
09/06/2019,217.01,217.43,201.07,12533.83098
10/06/2019,203.27,218.84,201.95,14050.50816
11/06/2019,215.87,219.91,210.02,10773.32627
12/06/2019,217.3,230.54,215.01,18548.08079
13/06/2019,227.8,234,226.04,12630.73031
14/06/2019,226.87,236.32,224.11,11923.81705
15/06/2019,235.83,242.75,233.37,9916.137251
16/06/2019,238.61,242.75,231.09,13768.93093
17/06/2019,239.11,245,238.44,12909.83264
18/06/2019,244.43,245.85,233.51,15224.26468
19/06/2019,234.52,241,233.96,9046.626943
20/06/2019,239.1,243.5,236.45,8877.442746
